M, N, B, Name, Result, Time, OPT_Rate, Nodes,Timeout
5, 9, 3.000000, BB_DP, 0.000000, 1.932309, 1.000000, 7522, 1
5, 9, 3.000000, PDP, 0.000000, 0.166953, 1.000000, 0, 1
5, 9, 3.000000, TABU, 2.000000, 2.055100, inf, 0, 1
5, 9, 3.000000, GA, 1.000000, 8.644600, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002895, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.163898, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 3.385200, 1.000000, 0, 1
5, 9, 3.000000, GA, 0.000000, 10.393800, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 1.556801, 1.000000, 12409, 1
5, 9, 3.000000, PDP, 0.000000, 0.165390, 1.000000, 0, 1
5, 9, 3.000000, TABU, 1.000000, 3.095200, inf, 0, 1
5, 9, 3.000000, GA, 2.000000, 6.472900, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002159, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.163745, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 3.032600, 1.000000, 0, 1
5, 9, 3.000000, GA, 0.000000, 6.855600, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.300376, 1.000000, 7125, 1
5, 9, 3.000000, PDP, 0.000000, 0.172740, 1.000000, 0, 1
5, 9, 3.000000, TABU, 2.000000, 1.978500, inf, 0, 1
5, 9, 3.000000, GA, 2.000000, 6.479100, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.364606, 1.000000, 3462, 1
5, 9, 3.000000, PDP, 0.000000, 0.176042, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 3.094500, 1.000000, 0, 1
5, 9, 3.000000, GA, 2.000000, 6.383000, inf, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.003560, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.167810, 1.000000, 0, 1
5, 9, 3.000000, TABU, 0.000000, 2.844600, 1.000000, 0, 1
5, 9, 3.000000, GA, 1.000000, 6.309600, inf, 0, 1
