M, N, B, Name, Result, Time, OPT_Rate, Nodes,Timeout
2, 12, 3.000000, BB_DP, 17.000000, 0.022529, 1.000000, 1786, 1
2, 12, 3.000000, PDP, 17.000000, 0.001186, 1.000000, 0, 1
2, 12, 3.000000, TABU, 17.000000, 6.538200, 1.000000, 0, 1
2, 12, 3.000000, GA, 17.000000, 13.708800, 1.000000, 0, 1
2, 12, 3.000000, BB_DP, 17.000000, 0.015340, 1.000000, 935, 1
2, 12, 3.000000, PDP, 17.000000, 0.000976, 1.000000, 0, 1
2, 12, 3.000000, TABU, 17.000000, 3.484200, 1.000000, 0, 1
2, 12, 3.000000, GA, 17.000000, 12.774800, 1.000000, 0, 1
2, 12, 3.000000, BB_DP, 15.000000, 0.008994, 1.000000, 277, 1
2, 12, 3.000000, PDP, 15.000000, 0.001066, 1.000000, 0, 1
2, 12, 3.000000, TABU, 15.000000, 6.430900, 1.000000, 0, 1
2, 12, 3.000000, GA, 15.000000, 12.143100, 1.000000, 0, 1
2, 12, 3.000000, BB_DP, 24.000000, 0.019328, 1.000000, 1109, 1
2, 12, 3.000000, PDP, 24.000000, 0.001326, 1.000000, 0, 1
2, 12, 3.000000, TABU, 24.000000, 7.251200, 1.000000, 0, 1
2, 12, 3.000000, GA, 24.000000, 15.582400, 1.000000, 0, 1
2, 12, 3.000000, BB_DP, 22.000000, 0.011518, 1.000000, 273, 1
2, 12, 3.000000, PDP, 22.000000, 0.001117, 1.000000, 0, 1
2, 12, 3.000000, TABU, 24.000000, 5.470100, 1.090909, 0, 1
2, 12, 3.000000, GA, 23.000000, 20.150900, 1.045455, 0, 1
2, 12, 3.000000, BB_DP, 12.000000, 0.016148, 1.000000, 533, 1
2, 12, 3.000000, PDP, 12.000000, 0.001050, 1.000000, 0, 1
2, 12, 3.000000, TABU, 12.000000, 5.045800, 1.000000, 0, 1
2, 12, 3.000000, GA, 12.000000, 14.748400, 1.000000, 0, 1
2, 12, 3.000000, BB_DP, 20.000000, 0.020944, 1.000000, 1870, 1
2, 12, 3.000000, PDP, 20.000000, 0.001015, 1.000000, 0, 1
2, 12, 3.000000, TABU, 20.000000, 6.214500, 1.000000, 0, 1
2, 12, 3.000000, GA, 21.000000, 12.095000, 1.050000, 0, 1
2, 12, 3.000000, BB_DP, 27.000000, 0.006571, 1.000000, 116, 1
2, 12, 3.000000, PDP, 27.000000, 0.001027, 1.000000, 0, 1
2, 12, 3.000000, TABU, 27.000000, 6.374600, 1.000000, 0, 1
2, 12, 3.000000, GA, 28.000000, 13.806700, 1.037037, 0, 1
2, 12, 3.000000, BB_DP, 19.000000, 0.016675, 1.000000, 279, 1
2, 12, 3.000000, PDP, 19.000000, 0.001085, 1.000000, 0, 1
2, 12, 3.000000, TABU, 20.000000, 5.384200, 1.052632, 0, 1
2, 12, 3.000000, GA, 21.000000, 12.536600, 1.105263, 0, 1
2, 12, 3.000000, BB_DP, 31.000000, 0.005480, 1.000000, 102, 1
2, 12, 3.000000, PDP, 31.000000, 0.001059, 1.000000, 0, 1
2, 12, 3.000000, TABU, 31.000000, 4.128200, 1.000000, 0, 1
2, 12, 3.000000, GA, 31.000000, 13.570900, 1.000000, 0, 1
2, 12, 3.000000, BB_DP, 19.000000, 0.008901, 1.000000, 188, 1
2, 12, 3.000000, PDP, 19.000000, 0.001024, 1.000000, 0, 1
2, 12, 3.000000, TABU, 19.000000, 4.017700, 1.000000, 0, 1
2, 12, 3.000000, GA, 19.000000, 13.133300, 1.000000, 0, 1
2, 12, 3.000000, BB_DP, 9.000000, 0.009879, 1.000000, 396, 1
2, 12, 3.000000, PDP, 9.000000, 0.001150, 1.000000, 0, 1
2, 12, 3.000000, TABU, 9.000000, 5.779800, 1.000000, 0, 1
2, 12, 3.000000, GA, 10.000000, 13.258700, 1.111111, 0, 1
2, 12, 3.000000, BB_DP, 14.000000, 0.004443, 1.000000, 43, 1
2, 12, 3.000000, PDP, 14.000000, 0.001061, 1.000000, 0, 1
2, 12, 3.000000, TABU, 14.000000, 4.315100, 1.000000, 0, 1
2, 12, 3.000000, GA, 14.000000, 12.597800, 1.000000, 0, 1
2, 12, 3.000000, BB_DP, 29.000000, 0.020501, 1.000000, 1669, 1
2, 12, 3.000000, PDP, 29.000000, 0.001048, 1.000000, 0, 1
2, 12, 3.000000, TABU, 29.000000, 4.269400, 1.000000, 0, 1
2, 12, 3.000000, GA, 32.000000, 12.107900, 1.103448, 0, 1
2, 12, 3.000000, BB_DP, 22.000000, 0.011049, 1.000000, 400, 1
2, 12, 3.000000, PDP, 22.000000, 0.001154, 1.000000, 0, 1
2, 12, 3.000000, TABU, 22.000000, 4.744900, 1.000000, 0, 1
2, 12, 3.000000, GA, 24.000000, 13.254200, 1.090909, 0, 1
2, 12, 3.000000, BB_DP, 22.000000, 0.010136, 1.000000, 234, 1
2, 12, 3.000000, PDP, 22.000000, 0.001397, 1.000000, 0, 1
2, 12, 3.000000, TABU, 23.000000, 6.326400, 1.045455, 0, 1
2, 12, 3.000000, GA, 24.000000, 12.855900, 1.090909, 0, 1
2, 12, 3.000000, BB_DP, 17.000000, 0.007613, 1.000000, 163, 1
2, 12, 3.000000, PDP, 17.000000, 0.001386, 1.000000, 0, 1
2, 12, 3.000000, TABU, 17.000000, 10.160300, 1.000000, 0, 1
2, 12, 3.000000, GA, 18.000000, 17.529100, 1.058824, 0, 1
2, 12, 3.000000, BB_DP, 25.000000, 0.014212, 1.000000, 439, 1
2, 12, 3.000000, PDP, 25.000000, 0.001315, 1.000000, 0, 1
2, 12, 3.000000, TABU, 27.000000, 5.199500, 1.080000, 0, 1
2, 12, 3.000000, GA, 27.000000, 14.555000, 1.080000, 0, 1
2, 12, 3.000000, BB_DP, 20.000000, 0.007450, 1.000000, 79, 1
2, 12, 3.000000, PDP, 20.000000, 0.001039, 1.000000, 0, 1
2, 12, 3.000000, TABU, 20.000000, 4.745100, 1.000000, 0, 1
2, 12, 3.000000, GA, 20.000000, 16.657600, 1.000000, 0, 1
2, 12, 3.000000, BB_DP, 14.000000, 0.007086, 1.000000, 272, 1
2, 12, 3.000000, PDP, 14.000000, 0.001153, 1.000000, 0, 1
2, 12, 3.000000, TABU, 15.000000, 4.376100, 1.071429, 0, 1
2, 12, 3.000000, GA, 15.000000, 18.098200, 1.071429, 0, 1
2, 12, 5.000000, BB_DP, 29.000000, 0.007070, 1.000000, 45, 1
2, 12, 5.000000, PDP, 29.000000, 0.001480, 1.000000, 0, 1
2, 12, 5.000000, TABU, 29.000000, 5.290700, 1.000000, 0, 1
2, 12, 5.000000, GA, 29.000000, 14.799100, 1.000000, 0, 1
2, 12, 5.000000, BB_DP, 18.000000, 0.007078, 1.000000, 162, 1
2, 12, 5.000000, PDP, 18.000000, 0.001221, 1.000000, 0, 1
2, 12, 5.000000, TABU, 18.000000, 4.972500, 1.000000, 0, 1
2, 12, 5.000000, GA, 18.000000, 28.083100, 1.000000, 0, 1
2, 12, 5.000000, BB_DP, 19.000000, 0.009960, 1.000000, 270, 1
2, 12, 5.000000, PDP, 19.000000, 0.001445, 1.000000, 0, 1
2, 12, 5.000000, TABU, 19.000000, 7.810200, 1.000000, 0, 1
2, 12, 5.000000, GA, 22.000000, 19.990600, 1.157895, 0, 1
2, 12, 5.000000, BB_DP, 22.000000, 0.010257, 1.000000, 109, 1
2, 12, 5.000000, PDP, 22.000000, 0.001690, 1.000000, 0, 1
2, 12, 5.000000, TABU, 22.000000, 7.761300, 1.000000, 0, 1
2, 12, 5.000000, GA, 22.000000, 18.376500, 1.000000, 0, 1
2, 12, 5.000000, BB_DP, 27.000000, 0.005698, 1.000000, 23, 1
2, 12, 5.000000, PDP, 27.000000, 0.001398, 1.000000, 0, 1
2, 12, 5.000000, TABU, 27.000000, 6.495900, 1.000000, 0, 1
2, 12, 5.000000, GA, 28.000000, 14.057400, 1.037037, 0, 1
2, 12, 5.000000, BB_DP, 18.000000, 0.011821, 1.000000, 433, 1
2, 12, 5.000000, PDP, 18.000000, 0.001487, 1.000000, 0, 1
2, 12, 5.000000, TABU, 20.000000, 7.134400, 1.111111, 0, 1
2, 12, 5.000000, GA, 19.000000, 18.233900, 1.055556, 0, 1
2, 12, 5.000000, BB_DP, 25.000000, 0.007132, 1.000000, 126, 1
2, 12, 5.000000, PDP, 25.000000, 0.001191, 1.000000, 0, 1
2, 12, 5.000000, TABU, 25.000000, 5.070000, 1.000000, 0, 1
2, 12, 5.000000, GA, 25.000000, 16.189400, 1.000000, 0, 1
2, 12, 5.000000, BB_DP, 18.000000, 0.005556, 1.000000, 62, 1
2, 12, 5.000000, PDP, 18.000000, 0.001559, 1.000000, 0, 1
2, 12, 5.000000, TABU, 18.000000, 7.905400, 1.000000, 0, 1
2, 12, 5.000000, GA, 18.000000, 23.755500, 1.000000, 0, 1
2, 12, 5.000000, BB_DP, 17.000000, 0.009324, 1.000000, 57, 1
2, 12, 5.000000, PDP, 17.000000, 0.001274, 1.000000, 0, 1
2, 12, 5.000000, TABU, 17.000000, 5.998400, 1.000000, 0, 1
2, 12, 5.000000, GA, 17.000000, 16.339600, 1.000000, 0, 1
2, 12, 5.000000, BB_DP, 22.000000, 0.006748, 1.000000, 73, 1
2, 12, 5.000000, PDP, 22.000000, 0.001503, 1.000000, 0, 1
2, 12, 5.000000, TABU, 23.000000, 5.677300, 1.045455, 0, 1
