M, N, B, Name, Result, Time, OPT_Rate, Nodes,Timeout
2, 11, 3.000000, BB_DP, 11.000000, 0.014191, 1.000000, 53, 1
2, 11, 3.000000, PDP, 11.000000, 0.000940, 1.000000, 0, 1
2, 11, 3.000000, MODEL1, 11.000000, 57.182835, 1.000000, 0, 1
2, 11, 3.000000, TABU, 11.000000, 11.112700, 1.000000, 0, 1
2, 11, 3.000000, BB_DP, 12.000000, 0.026957, 1.000000, 316, 1
2, 11, 3.000000, PDP, 12.000000, 0.001129, 1.000000, 0, 1
2, 11, 3.000000, MODEL1, 12.000000, 1490.143947, 1.000000, 0, 1
2, 11, 3.000000, TABU, 12.000000, 5.051100, 1.000000, 0, 1
2, 11, 3.000000, BB_DP, 15.000000, 0.010556, 1.000000, 94, 1
2, 11, 3.000000, PDP, 15.000000, 0.000979, 1.000000, 0, 1
2, 11, 3.000000, MODEL1, 15.000000, 416.947847, 1.000000, 0, 1
2, 11, 3.000000, TABU, 15.000000, 11.404800, 1.000000, 0, 1
2, 11, 3.000000, BB_DP, 17.000000, 0.014271, 1.000000, 207, 1
2, 11, 3.000000, PDP, 17.000000, 0.000775, 1.000000, 0, 1
2, 11, 3.000000, MODEL1, 17.000000, 9965.799685, 1.000000, 0, 1
2, 11, 3.000000, TABU, 17.000000, 6.246500, 1.000000, 0, 1
2, 11, 3.000000, BB_DP, 23.000000, 0.006388, 1.000000, 58, 1
2, 11, 3.000000, PDP, 23.000000, 0.000753, 1.000000, 0, 1
2, 11, 3.000000, MODEL1, 23.000000, 2506.773952, 1.000000, 0, 1
2, 11, 3.000000, TABU, 23.000000, 4.971600, 1.000000, 0, 1
2, 11, 3.000000, BB_DP, 20.000000, 0.021197, 1.000000, 492, 1
2, 11, 3.000000, PDP, 20.000000, 0.000969, 1.000000, 0, 1
2, 11, 3.000000, MODEL1, 20.000000, 387.635049, 1.000000, 0, 1
2, 11, 3.000000, TABU, 21.000000, 6.120000, 1.050000, 0, 1
2, 11, 3.000000, BB_DP, 6.000000, 0.009528, 1.000000, 139, 1
2, 11, 3.000000, PDP, 6.000000, 0.000813, 1.000000, 0, 1
2, 11, 3.000000, MODEL1, 6.000000, 262.675448, 1.000000, 0, 1
2, 11, 3.000000, TABU, 6.000000, 7.519600, 1.000000, 0, 1
2, 11, 3.000000, BB_DP, 15.000000, 0.011286, 1.000000, 176, 1
2, 11, 3.000000, PDP, 15.000000, 0.000843, 1.000000, 0, 1
2, 11, 3.000000, MODEL1, 15.000000, 541.874373, 1.000000, 0, 1
2, 11, 3.000000, TABU, 17.000000, 6.300400, 1.133333, 0, 1
