M, N, B, Name, Result, Time, OPT_RATE
2, 12, 3.000000, BB_DP, 2.000000, 16.125600, -2.000000
2, 12, 3.000000, PDP, 2.000000, 0.695400, 1.000000
2, 12, 3.000000, TABU, 3.000000, 5.671900, 1.500000
2, 12, 3.000000, GA, 3.000000, 15.284200, 1.500000
2, 12, 3.000000, BB_DP, 4.000000, 25.066800, -4.000000
2, 12, 3.000000, PDP, 4.000000, 1.362700, 1.000000
2, 12, 3.000000, TABU, 4.000000, 7.240600, 1.000000
2, 12, 3.000000, GA, 4.000000, 16.023400, 1.000000
2, 12, 3.000000, BB_DP, 12.000000, 47.500800, -12.000000
2, 12, 3.000000, PDP, 12.000000, 0.688200, 1.000000
2, 12, 3.000000, TABU, 13.000000, 5.564400, 1.083333
2, 12, 3.000000, GA, 13.000000, 14.191700, 1.083333
2, 12, 3.000000, BB_DP, 13.000000, 6.029100, -13.000000
2, 12, 3.000000, PDP, 13.000000, 0.727200, 1.000000
2, 12, 3.000000, TABU, 13.000000, 5.230400, 1.000000
2, 12, 3.000000, GA, 14.000000, 15.281400, 1.076923
2, 12, 3.000000, BB_DP, 8.000000, 44.572500, -8.000000
2, 12, 3.000000, PDP, 8.000000, 1.149100, 1.000000
2, 12, 3.000000, TABU, 8.000000, 8.430100, 1.000000
2, 12, 3.000000, GA, 9.000000, 20.804800, 1.125000
2, 12, 5.000000, BB_DP, 17.000000, 11.856900, -17.000000
2, 12, 5.000000, PDP, 17.000000, 1.351100, 1.000000
2, 12, 5.000000, TABU, 17.000000, 3.622900, 1.000000
2, 12, 5.000000, GA, 17.000000, 20.473200, 1.000000
2, 12, 5.000000, BB_DP, 13.000000, 287.896000, -13.000000
2, 12, 5.000000, PDP, 13.000000, 0.665300, 1.000000
2, 12, 5.000000, TABU, 13.000000, 3.819400, 1.000000
2, 12, 5.000000, GA, 13.000000, 15.000600, 1.000000
2, 12, 5.000000, BB_DP, 15.000000, 28.775500, -15.000000
2, 12, 5.000000, PDP, 15.000000, 0.785300, 1.000000
2, 12, 5.000000, TABU, 15.000000, 4.692300, 1.000000
2, 12, 5.000000, GA, 15.000000, 14.970200, 1.000000
2, 12, 5.000000, BB_DP, 18.000000, 7.906800, -18.000000
2, 12, 5.000000, PDP, 18.000000, 0.500900, 1.000000
2, 12, 5.000000, TABU, 18.000000, 7.460100, 1.000000
2, 12, 5.000000, GA, 20.000000, 21.626100, 1.111111
2, 12, 5.000000, BB_DP, 18.000000, 6.375800, -18.000000
2, 12, 5.000000, PDP, 18.000000, 0.625500, 1.000000
2, 12, 5.000000, TABU, 19.000000, 5.271200, 1.055556
2, 12, 5.000000, GA, 19.000000, 16.329400, 1.055556
2, 12, 7.000000, BB_DP, 31.000000, 7.129700, -31.000000
2, 12, 7.000000, PDP, 31.000000, 0.893300, 1.000000
2, 12, 7.000000, TABU, 31.000000, 6.195500, 1.000000
2, 12, 7.000000, GA, 33.000000, 15.110900, 1.064516
2, 12, 7.000000, BB_DP, 22.000000, 4.955100, -22.000000
2, 12, 7.000000, PDP, 22.000000, 0.912600, 1.000000
2, 12, 7.000000, TABU, 22.000000, 6.082000, 1.000000
2, 12, 7.000000, GA, 22.000000, 21.885400, 1.000000
2, 12, 7.000000, BB_DP, 18.000000, 8.749300, -18.000000
2, 12, 7.000000, PDP, 18.000000, 0.511000, 1.000000
2, 12, 7.000000, TABU, 18.000000, 4.646100, 1.000000
2, 12, 7.000000, GA, 19.000000, 21.070600, 1.055556
2, 12, 7.000000, BB_DP, 15.000000, 7.944400, -15.000000
2, 12, 7.000000, PDP, 15.000000, 1.032100, 1.000000
2, 12, 7.000000, TABU, 15.000000, 9.468700, 1.000000
2, 12, 7.000000, GA, 16.000000, 18.498500, 1.066667
2, 12, 7.000000, BB_DP, 20.000000, 6.949600, -20.000000
2, 12, 7.000000, PDP, 20.000000, 0.641300, 1.000000
2, 12, 7.000000, TABU, 20.000000, 8.384300, 1.000000
2, 12, 7.000000, GA, 20.000000, 25.068500, 1.000000
2, 14, 3.000000, BB_DP, 11.000000, 333.203000, -11.000000
2, 14, 3.000000, PDP, 11.000000, 3.742700, 1.000000
2, 14, 3.000000, TABU, 12.000000, 9.590200, 1.090909
2, 14, 3.000000, GA, 19.000000, 21.045100, 1.727273
2, 14, 3.000000, BB_DP, 16.000000, 615.822000, -16.000000
2, 14, 3.000000, PDP, 16.000000, 3.567600, 1.000000
2, 14, 3.000000, TABU, 16.000000, 5.478300, 1.000000
2, 14, 3.000000, GA, 16.000000, 17.164500, 1.000000
2, 14, 3.000000, BB_DP, 10.000000, 101.944800, -10.000000
2, 14, 3.000000, PDP, 10.000000, 3.572800, 1.000000
2, 14, 3.000000, TABU, 10.000000, 9.502000, 1.000000
2, 14, 3.000000, GA, 12.000000, 19.241000, 1.200000
2, 14, 3.000000, BB_DP, 14.000000, 388.584100, -14.000000
2, 14, 3.000000, PDP, 14.000000, 3.625700, 1.000000
2, 14, 3.000000, TABU, 16.000000, 7.247100, 1.142857
2, 14, 3.000000, GA, 16.000000, 15.375900, 1.142857
2, 14, 3.000000, BB_DP, 13.000000, 27.304300, -13.000000
2, 14, 3.000000, PDP, 13.000000, 2.778200, 1.000000
2, 14, 3.000000, TABU, 13.000000, 5.547700, 1.000000
2, 14, 3.000000, GA, 14.000000, 16.926200, 1.076923
2, 14, 5.000000, BB_DP, 27.000000, 41.891800, -27.000000
2, 14, 5.000000, PDP, 27.000000, 3.355300, 1.000000
2, 14, 5.000000, TABU, 27.000000, 7.819000, 1.000000
2, 14, 5.000000, GA, 27.000000, 22.014000, 1.000000
2, 14, 5.000000, BB_DP, 21.000000, 26.513900, -21.000000
2, 14, 5.000000, PDP, 21.000000, 2.378200, 1.000000
2, 14, 5.000000, TABU, 21.000000, 9.020000, 1.000000
2, 14, 5.000000, GA, 24.000000, 15.450900, 1.142857
2, 14, 5.000000, BB_DP, 19.000000, 24.297000, -19.000000
2, 14, 5.000000, PDP, 19.000000, 3.535300, 1.000000
2, 14, 5.000000, TABU, 19.000000, 5.972800, 1.000000
