M, N, B, Name, Result, Time, OPT_RATE
2, 12, 3.000000, BB_DP, 2.000000, 11.476000, -2.000000
2, 12, 3.000000, PDP, 2.000000, 0.507400, 1.000000
2, 12, 3.000000, TABU, 3.000000, 4.206000, 1.500000
2, 12, 3.000000, GA, 3.000000, 15.146700, 1.500000
2, 12, 3.000000, BB_DP, 4.000000, 22.054500, -4.000000
2, 12, 3.000000, PDP, 4.000000, 1.025000, 1.000000
2, 12, 3.000000, TABU, 4.000000, 3.923600, 1.000000
2, 12, 3.000000, GA, 4.000000, 12.022300, 1.000000
2, 12, 3.000000, BB_DP, 12.000000, 36.287000, -12.000000
2, 12, 3.000000, PDP, 12.000000, 0.648300, 1.000000
2, 12, 3.000000, TABU, 13.000000, 4.706500, 1.083333
2, 12, 3.000000, GA, 13.000000, 13.071200, 1.083333
2, 12, 3.000000, BB_DP, 13.000000, 5.334900, -13.000000
2, 12, 3.000000, PDP, 13.000000, 0.873900, 1.000000
2, 12, 3.000000, TABU, 13.000000, 4.800300, 1.000000
2, 12, 3.000000, GA, 14.000000, 11.487100, 1.076923
2, 12, 3.000000, BB_DP, 8.000000, 31.957300, -8.000000
2, 12, 3.000000, PDP, 8.000000, 0.837400, 1.000000
2, 12, 3.000000, TABU, 8.000000, 5.736900, 1.000000
2, 12, 3.000000, GA, 9.000000, 22.164000, 1.125000
2, 12, 5.000000, BB_DP, 17.000000, 11.177600, -17.000000
2, 12, 5.000000, PDP, 17.000000, 0.815100, 1.000000
2, 12, 5.000000, TABU, 17.000000, 3.937000, 1.000000
2, 12, 5.000000, GA, 17.000000, 12.945500, 1.000000
2, 12, 5.000000, BB_DP, 13.000000, 215.043200, -13.000000
2, 12, 5.000000, PDP, 13.000000, 0.754700, 1.000000
2, 12, 5.000000, TABU, 13.000000, 4.309700, 1.000000
2, 12, 5.000000, GA, 13.000000, 12.773800, 1.000000
2, 12, 5.000000, BB_DP, 15.000000, 19.316100, -15.000000
2, 12, 5.000000, PDP, 15.000000, 0.719900, 1.000000
2, 12, 5.000000, TABU, 15.000000, 4.460400, 1.000000
2, 12, 5.000000, GA, 15.000000, 12.081900, 1.000000
2, 12, 5.000000, BB_DP, 18.000000, 7.223400, -18.000000
2, 12, 5.000000, PDP, 18.000000, 0.487100, 1.000000
2, 12, 5.000000, TABU, 18.000000, 4.642200, 1.000000
2, 12, 5.000000, GA, 20.000000, 15.247800, 1.111111
2, 12, 5.000000, BB_DP, 18.000000, 5.650600, -18.000000
2, 12, 5.000000, PDP, 18.000000, 0.502400, 1.000000
2, 12, 5.000000, TABU, 19.000000, 4.491200, 1.055556
2, 12, 5.000000, GA, 19.000000, 12.207100, 1.055556
2, 12, 7.000000, BB_DP, 31.000000, 4.162500, -31.000000
2, 12, 7.000000, PDP, 31.000000, 0.454500, 1.000000
2, 12, 7.000000, TABU, 31.000000, 5.882000, 1.000000
2, 12, 7.000000, GA, 33.000000, 12.019400, 1.064516
2, 12, 7.000000, BB_DP, 22.000000, 5.594300, -22.000000
2, 12, 7.000000, PDP, 22.000000, 0.702400, 1.000000
2, 12, 7.000000, TABU, 22.000000, 5.579000, 1.000000
2, 12, 7.000000, GA, 22.000000, 22.533900, 1.000000
2, 12, 7.000000, BB_DP, 18.000000, 8.060300, -18.000000
2, 12, 7.000000, PDP, 18.000000, 0.743500, 1.000000
2, 12, 7.000000, TABU, 18.000000, 5.829300, 1.000000
2, 12, 7.000000, GA, 19.000000, 15.710300, 1.055556
2, 12, 7.000000, BB_DP, 15.000000, 6.614100, -15.000000
2, 12, 7.000000, PDP, 15.000000, 0.703300, 1.000000
2, 12, 7.000000, TABU, 15.000000, 5.226100, 1.000000
2, 12, 7.000000, GA, 16.000000, 13.636500, 1.066667
2, 12, 7.000000, BB_DP, 20.000000, 6.361000, -20.000000
2, 12, 7.000000, PDP, 20.000000, 0.551300, 1.000000
2, 12, 7.000000, TABU, 20.000000, 4.438700, 1.000000
2, 12, 7.000000, GA, 20.000000, 13.939800, 1.000000
2, 14, 3.000000, BB_DP, 11.000000, 209.775200, -11.000000
2, 14, 3.000000, PDP, 11.000000, 2.762500, 1.000000
2, 14, 3.000000, TABU, 12.000000, 4.754600, 1.090909
2, 14, 3.000000, GA, 19.000000, 13.756000, 1.727273
2, 14, 3.000000, BB_DP, 16.000000, 453.070200, -16.000000
2, 14, 3.000000, PDP, 16.000000, 3.075000, 1.000000
2, 14, 3.000000, TABU, 16.000000, 5.003000, 1.000000
2, 14, 3.000000, GA, 16.000000, 15.917400, 1.000000
2, 14, 3.000000, BB_DP, 10.000000, 111.503900, -10.000000
2, 14, 3.000000, PDP, 10.000000, 2.413400, 1.000000
2, 14, 3.000000, TABU, 10.000000, 6.837500, 1.000000
2, 14, 3.000000, GA, 12.000000, 19.795000, 1.200000
2, 14, 3.000000, BB_DP, 14.000000, 397.769100, -14.000000
2, 14, 3.000000, PDP, 14.000000, 3.393100, 1.000000
2, 14, 3.000000, TABU, 16.000000, 3.895500, 1.142857
2, 14, 3.000000, GA, 16.000000, 14.688000, 1.142857
2, 14, 3.000000, BB_DP, 13.000000, 20.786600, -13.000000
2, 14, 3.000000, PDP, 13.000000, 2.613500, 1.000000
2, 14, 3.000000, TABU, 13.000000, 5.090900, 1.000000
2, 14, 3.000000, GA, 14.000000, 14.695100, 1.076923
2, 14, 5.000000, BB_DP, 27.000000, 27.746400, -27.000000
2, 14, 5.000000, PDP, 27.000000, 1.994600, 1.000000
2, 14, 5.000000, TABU, 27.000000, 4.880900, 1.000000
2, 14, 5.000000, GA, 27.000000, 14.048100, 1.000000
2, 14, 5.000000, BB_DP, 21.000000, 20.557300, -21.000000
2, 14, 5.000000, PDP, 21.000000, 1.855400, 1.000000
2, 14, 5.000000, TABU, 21.000000, 4.810800, 1.000000
2, 14, 5.000000, GA, 24.000000, 12.872500, 1.142857
2, 14, 5.000000, BB_DP, 19.000000, 15.451500, -19.000000
2, 14, 5.000000, PDP, 19.000000, 1.992300, 1.000000
2, 14, 5.000000, TABU, 19.000000, 5.432400, 1.000000
2, 14, 5.000000, GA, 19.000000, 13.116300, 1.000000
2, 14, 5.000000, BB_DP, 19.000000, 17.625000, -19.000000
2, 14, 5.000000, PDP, 19.000000, 1.854400, 1.000000
2, 14, 5.000000, TABU, 19.000000, 6.504500, 1.000000
2, 14, 5.000000, GA, 19.000000, 13.544300, 1.000000
2, 14, 5.000000, BB_DP, 18.000000, 11.148500, -18.000000
2, 14, 5.000000, PDP, 18.000000, 2.002600, 1.000000
2, 14, 5.000000, TABU, 18.000000, 3.467600, 1.000000
2, 14, 5.000000, GA, 18.000000, 14.036500, 1.000000
2, 14, 7.000000, BB_DP, 21.000000, 17.480800, -21.000000
2, 14, 7.000000, PDP, 21.000000, 1.966300, 1.000000
2, 14, 7.000000, TABU, 21.000000, 4.672400, 1.000000
2, 14, 7.000000, GA, 22.000000, 12.261400, 1.047619
2, 14, 7.000000, BB_DP, 31.000000, 29.795800, -31.000000
2, 14, 7.000000, PDP, 31.000000, 1.738300, 1.000000
2, 14, 7.000000, TABU, 31.000000, 3.271600, 1.000000
2, 14, 7.000000, GA, 32.000000, 19.212900, 1.032258
