M, N, B, Name, Result, Time, OPT_Rate, Nodes,Timeout
5, 9, 3.000000, BB_DP, 0.000000, 0.008809, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.346400, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.142625, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.143573, 1.000000, 32, 1
5, 9, 3.000000, PDP, 0.000000, 0.201946, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.162600, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 2.847863, 1.000000, 9744, 1
5, 9, 3.000000, PDP, 0.000000, 0.172537, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.176219, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 2.748088, 1.000000, 19588, 1
5, 9, 3.000000, PDP, 0.000000, 0.165105, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.172777, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002286, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.163787, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.117662, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002362, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.167800, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.099707, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 2.845753, 1.000000, 9208, 1
5, 9, 3.000000, PDP, 0.000000, 0.164796, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.169910, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.003083, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.164081, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.113511, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002155, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.165922, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.137897, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.862179, 1.000000, 2225, 1
5, 9, 3.000000, PDP, 0.000000, 0.166859, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.120299, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002122, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.177013, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.151437, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 4.035606, 1.000000, 8873, 1
5, 9, 3.000000, PDP, 0.000000, 0.202970, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.212143, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.800016, 1.000000, 1706, 1
5, 9, 3.000000, PDP, 0.000000, 0.204865, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.157562, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.004138, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.206710, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.170139, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 1.000000, 6.086124, 1.000000, 25476, 1
5, 9, 3.000000, PDP, 1.000000, 0.197751, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 1.000000, 0.183822, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002686, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.215738, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.146758, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.003048, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.211364, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.195790, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 1.583832, 1.000000, 6393, 1
5, 9, 3.000000, PDP, 0.000000, 0.191336, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.186224, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.002686, 1.000000, 0, 1
5, 9, 3.000000, PDP, 0.000000, 0.191008, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.114319, 1.000000, 0, 1
5, 9, 3.000000, BB_DP, 0.000000, 0.170009, 1.000000, 82, 1
5, 9, 3.000000, PDP, 0.000000, 0.190924, 1.000000, 0, 1
5, 9, 3.000000, MODEL1, 0.000000, 0.118432, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.004092, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.191418, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.098839, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 2.000000, 5.850739, 1.000000, 40514, 1
5, 9, 5.000000, PDP, 2.000000, 0.220099, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 2.000000, 0.411889, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.414804, 1.000000, 1306, 1
5, 9, 5.000000, PDP, 0.000000, 0.301789, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.193950, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.003491, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.291467, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.208435, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 2.244515, 1.000000, 7861, 1
5, 9, 5.000000, PDP, 0.000000, 0.285499, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.160615, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.003020, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.247596, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.115774, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.003342, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.219918, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.116049, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.002890, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.215735, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.226737, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.004560, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.219486, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.185001, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.788822, 1.000000, 2490, 1
5, 9, 5.000000, PDP, 0.000000, 0.202262, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.185812, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 1.000000, 0.634986, 1.000000, 1347, 1
5, 9, 5.000000, PDP, 1.000000, 0.203030, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 1.000000, 0.250373, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.002872, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.217710, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.194513, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.002722, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.211038, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.134226, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 0.000000, 0.004199, 1.000000, 0, 1
5, 9, 5.000000, PDP, 0.000000, 0.236157, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 0.000000, 0.116499, 1.000000, 0, 1
5, 9, 5.000000, BB_DP, 1.000000, 1.201963, 1.000000, 6203, 1
5, 9, 5.000000, PDP, 1.000000, 0.206989, 1.000000, 0, 1
5, 9, 5.000000, MODEL1, 1.000000, 0.233268, 1.000000, 0, 1
