M, N, B, Name, Result, Time, OPT_Rate, Nodes,Timeout
3, 15, 3.000000, BB_DP, 8.000000, 6.354324, 1.000000, 689533, 1
3, 15, 3.000000, PDP, 8.000000, 1.772273, 1.000000, 0, 1
3, 15, 3.000000, TABU, 11.000000, 2.966900, 1.375000, 0, 1
3, 15, 3.000000, GA, 12.000000, 8.455300, 1.500000, 0, 1
3, 15, 3.000000, BB_DP, 17.000000, 0.242257, 1.000000, 19810, 1
3, 15, 3.000000, PDP, 17.000000, 1.702147, 1.000000, 0, 1
3, 15, 3.000000, TABU, 17.000000, 3.205900, 1.000000, 0, 1
3, 15, 3.000000, GA, 17.000000, 8.948800, 1.000000, 0, 1
3, 15, 3.000000, BB_DP, 12.000000, 4.224445, 1.000000, 368156, 1
3, 15, 3.000000, PDP, 12.000000, 1.889938, 1.000000, 0, 1
3, 15, 3.000000, TABU, 14.000000, 3.765200, 1.166667, 0, 1
3, 15, 3.000000, GA, 17.000000, 8.492900, 1.416667, 0, 1
