M, N, B, Name, Result, Time, OPT_RATE
2, 12, 3.000000, BB_DP, 2.000000, 0.026742, 1.000000
2, 12, 3.000000, PDP, 2.000000, 0.942800, 1.000000
2, 12, 3.000000, TABU, 3.000000, 8.513100, 1.500000
2, 12, 3.000000, GA, 3.000000, 11.034100, 1.500000
2, 12, 3.000000, BB_DP, 4.000000, 0.042127, 1.000000
2, 12, 3.000000, PDP, 4.000000, 2.170200, 1.000000
2, 12, 3.000000, TABU, 4.000000, 7.477500, 1.000000
2, 12, 3.000000, GA, 4.000000, 23.368500, 1.000000
2, 12, 3.000000, BB_DP, 12.000000, 0.054630, 1.000000
2, 12, 3.000000, PDP, 12.000000, 1.000800, 1.000000
2, 12, 3.000000, TABU, 13.000000, 4.114300, 1.083333
2, 12, 3.000000, GA, 13.000000, 13.682600, 1.083333
2, 12, 3.000000, BB_DP, 13.000000, 0.019881, 1.000000
2, 12, 3.000000, PDP, 13.000000, 1.247900, 1.000000
2, 12, 3.000000, TABU, 13.000000, 8.735500, 1.000000
2, 12, 3.000000, GA, 14.000000, 17.704500, 1.076923
2, 12, 3.000000, BB_DP, 8.000000, 0.058558, 1.000000
2, 12, 3.000000, PDP, 8.000000, 0.749000, 1.000000
2, 12, 3.000000, TABU, 8.000000, 4.196800, 1.000000
2, 12, 3.000000, GA, 9.000000, 14.883700, 1.125000
2, 12, 5.000000, BB_DP, 17.000000, 0.013659, 1.000000
2, 12, 5.000000, PDP, 17.000000, 0.691200, 1.000000
2, 12, 5.000000, TABU, 17.000000, 2.491600, 1.000000
2, 12, 5.000000, GA, 18.000000, 10.339800, 1.058824
2, 12, 5.000000, BB_DP, 13.000000, 0.220714, 1.000000
2, 12, 5.000000, PDP, 13.000000, 0.595500, 1.000000
2, 12, 5.000000, TABU, 13.000000, 3.179600, 1.000000
2, 12, 5.000000, GA, 14.000000, 11.934700, 1.076923
2, 12, 5.000000, BB_DP, 15.000000, 0.039331, 1.000000
2, 12, 5.000000, PDP, 15.000000, 0.647100, 1.000000
2, 12, 5.000000, TABU, 15.000000, 4.549000, 1.000000
2, 12, 5.000000, GA, 16.000000, 13.371900, 1.066667
2, 12, 5.000000, BB_DP, 18.000000, 0.015497, 1.000000
2, 12, 5.000000, PDP, 18.000000, 0.489700, 1.000000
2, 12, 5.000000, TABU, 18.000000, 2.670900, 1.000000
2, 12, 5.000000, GA, 20.000000, 10.409500, 1.111111
2, 12, 5.000000, BB_DP, 18.000000, 0.012342, 1.000000
2, 12, 5.000000, PDP, 18.000000, 0.701400, 1.000000
2, 12, 5.000000, TABU, 19.000000, 5.176700, 1.055556
2, 12, 5.000000, GA, 19.000000, 11.403800, 1.055556
2, 12, 7.000000, BB_DP, 31.000000, 0.010744, 1.000000
2, 12, 7.000000, PDP, 31.000000, 0.530600, 1.000000
2, 12, 7.000000, TABU, 31.000000, 3.043400, 1.000000
2, 12, 7.000000, GA, 31.000000, 10.454000, 1.000000
2, 12, 7.000000, BB_DP, 22.000000, 0.010142, 1.000000
2, 12, 7.000000, PDP, 22.000000, 0.678900, 1.000000
2, 12, 7.000000, TABU, 22.000000, 2.885800, 1.000000
2, 12, 7.000000, GA, 22.000000, 8.829100, 1.000000
2, 12, 7.000000, BB_DP, 18.000000, 0.011946, 1.000000
2, 12, 7.000000, PDP, 18.000000, 0.454200, 1.000000
2, 12, 7.000000, TABU, 18.000000, 4.596400, 1.000000
2, 12, 7.000000, GA, 18.000000, 10.585900, 1.000000
2, 12, 7.000000, BB_DP, 15.000000, 0.017325, 1.000000
2, 12, 7.000000, PDP, 15.000000, 0.495100, 1.000000
2, 12, 7.000000, TABU, 15.000000, 5.316300, 1.000000
2, 12, 7.000000, GA, 17.000000, 11.090200, 1.133333
2, 12, 7.000000, BB_DP, 20.000000, 0.013920, 1.000000
2, 12, 7.000000, PDP, 20.000000, 0.848400, 1.000000
2, 12, 7.000000, TABU, 20.000000, 4.622800, 1.000000
2, 12, 7.000000, GA, 20.000000, 12.270500, 1.000000
2, 14, 3.000000, BB_DP, 11.000000, 0.471336, 1.000000
2, 14, 3.000000, PDP, 11.000000, 2.468200, 1.000000
2, 14, 3.000000, TABU, 12.000000, 6.002600, 1.090909
2, 14, 3.000000, GA, 12.000000, 20.651300, 1.090909
2, 14, 3.000000, BB_DP, 16.000000, 0.421988, 1.000000
2, 14, 3.000000, PDP, 16.000000, 2.352900, 1.000000
2, 14, 3.000000, TABU, 16.000000, 3.507300, 1.000000
2, 14, 3.000000, GA, 19.000000, 11.166600, 1.187500
2, 14, 3.000000, BB_DP, 10.000000, 0.153671, 1.000000
2, 14, 3.000000, PDP, 10.000000, 1.934500, 1.000000
2, 14, 3.000000, TABU, 10.000000, 3.121300, 1.000000
2, 14, 3.000000, GA, 12.000000, 7.636500, 1.200000
2, 14, 3.000000, BB_DP, 14.000000, 0.338814, 1.000000
2, 14, 3.000000, PDP, 14.000000, 2.750000, 1.000000
2, 14, 3.000000, TABU, 15.000000, 2.876400, 1.071429
2, 14, 3.000000, GA, 16.000000, 9.312200, 1.142857
2, 14, 3.000000, BB_DP, 13.000000, 0.021175, 1.000000
2, 14, 3.000000, PDP, 13.000000, 2.238100, 1.000000
2, 14, 3.000000, TABU, 13.000000, 3.668500, 1.000000
2, 14, 3.000000, GA, 13.000000, 9.063900, 1.000000
2, 14, 5.000000, BB_DP, 27.000000, 0.029403, 1.000000
2, 14, 5.000000, PDP, 27.000000, 1.887700, 1.000000
2, 14, 5.000000, TABU, 27.000000, 4.036600, 1.000000
2, 14, 5.000000, GA, 27.000000, 10.159900, 1.000000
2, 14, 5.000000, BB_DP, 21.000000, 0.019072, 1.000000
2, 14, 5.000000, PDP, 21.000000, 1.907200, 1.000000
2, 14, 5.000000, TABU, 22.000000, 2.734600, 1.047619
2, 14, 5.000000, GA, 23.000000, 12.247700, 1.095238
2, 14, 5.000000, BB_DP, 19.000000, 0.017528, 1.000000
2, 14, 5.000000, PDP, 19.000000, 1.994100, 1.000000
2, 14, 5.000000, TABU, 19.000000, 3.309800, 1.000000
2, 14, 5.000000, GA, 19.000000, 8.632700, 1.000000
2, 14, 5.000000, BB_DP, 19.000000, 0.022252, 1.000000
2, 14, 5.000000, PDP, 19.000000, 2.161500, 1.000000
2, 14, 5.000000, TABU, 19.000000, 3.155900, 1.000000
2, 14, 5.000000, GA, 19.000000, 8.230000, 1.000000
2, 14, 5.000000, BB_DP, 18.000000, 0.013957, 1.000000
2, 14, 5.000000, PDP, 18.000000, 1.918900, 1.000000
